Experiment

1,53799	2099,10074
1,53798	2099,45215
1,53797	2098,2496
1,53795	2098,8429
1,53794	2098,54678
1,53793	2097,71132
1,53792	2098,86178
1,5379	2098,33493
1,53789	2099,19378
1,53788	2098,91733
1,53787	2098,64407
1,53785	2098,92185
1,53784	2098,64274
1,53783	2098,31393
1,53782	2098,92291
1,5378	2099,16002
1,53779	2098,916
1,53778	2099,44099
1,53777	2099,12228
1,53775	2098,0824
1,53774	2099,38278
1,53773	2099,72355
1,53772	2099,1361
1,5377	2098,66614
1,53769	2098,92398
1,53768	2098,57895
1,53767	2099,13317
1,53765	2098,68448
1,53764	2098,07709
1,53763	2100,22432
1,53762	2099,67119
1,5376	2099,12467
1,53759	2098,55502
1,53758	2099,40271
1,53756	2099,98698
1,53755	2098,54572
1,53754	2098,84955
1,53753	2098,52499
1,53751	2098,22089
1,5375	2098,51675
1,53749	2099,39208
1,53748	2099,0731
1,53746	2098,4261
1,53745	2097,84264
1,53744	2099,04466
1,53743	2099,32297
1,53741	2098,4261
1,5374	2098,99335
1,53739	2098,78655
1,53738	2098,08267
1,53736	2099,06326
1,53735	2098,42424
1,53734	2099,67331
1,53733	2098,71212
1,53731	2098,11058
1,5373	2097,84211
1,53729	2098,44418
1,53728	2099,02339
1,53726	2101,15843
1,53725	2098,15098
1,53724	2099,70946
1,53723	2099,04732
1,53721	2097,80303
1,5372	2098,10659
1,53719	2100,26005
1,53718	2099,3243
1,53716	2099,021
1,53715	2097,81074
1,53714	2098,10367
1,53713	2099,34131
1,53711	2099,04944
1,5371	2097,74987
1,53709	2098,0949
1,53707	2099,34848
1,53706	2099,66241
1,53705	2096,6135
1,53704	2099,05157
1,53702	2099,96704
1,53701	2098,44152
1,537	2098,12892
1,53699	2099,06778
1,53697	2099,36124
1,53696	2099,0412
1,53695	2099,90633
1,53694	2099,311
1,53692	2098,97262
1,53691	2098,72275
1,5369	2098,45109
1,53689	2099,01994
1,53687	2098,69883
1,53686	2099,03083
1,53685	2099,9181
1,53684	2098,41441
1,53682	2099,36842
1,53681	2099,33068
1,5368	2098,45508
1,53679	2097,83599
1,53677	2098,80303
1,53676	2099,66879
1,53675	2099,00904
1,53674	2099,39128
1,53672	2098,77379
1,53671	2099,96178
1,5367	2098,21505
1,53669	2097,02552
1,53667	2099,09755
1,53666	2099,38251
1,53665	2099,07363
1,53664	2099,39128
1,53662	2100,19551
1,53661	2097,97023
1,5366	2099,06433
1,53659	2099,36443
1,53657	2098,75226
1,53656	2098,20388
