SMA Analitical simulations

1,0663	0,3948
1,2049	0,49
1,5481	0,6734
1,5994	0,6269
1,695	0,6277

0	0
0,4987	0,1005
0,525	0,1226
0,7241	0,2164
0,9974	0,3608
1,0499	0,4252
1,1271	0,4524
1,1623	0,4939
1,4482	0,6388
1,5749	0,6672
1,5855	0,6415
1,6519	0,6741
1,8278	0,6561
1,8641	0,6699
1,9948	0,6288

0	0
0,4702	0,0893
0,4949	0,1078
0,6827	0,1907
0,9404	0,3295
0,9899	0,3854
1,0627	0,4107
1,0959	0,445
1,3653	0,5851
1,4106	0,6072
1,4848	0,6762
1,4949	0,6464
1,5575	0,68
1,7232	0,6775
1,7575	0,6829
1,8807	0,6229
1,9448	0,6334
1,9797	0,6483
2,0348	0,6607
2,1253	0,6592
2,1917	0,6869	
	
0	1,3042
0,5331	1,2274
0,5612	1,1648
0,7741	1,1024
1,0663	1,0613
1,1224	0,9959
1,2049	1,0394
1,2426	0,9683
1,5481	0,8904
1,5994	0,9396
1,6836	0,9521
1,695	0,9611
1,766	0,9444
--	--
0,4987	1,2025
0,525	1,177
0,7241	1,1369
0,9974	1,0972
1,0499	1,0828
1,1271	0,979
1,1623	0,9698
1,4482	0,8532
1,5749	0,948
1,5855	0,8841
1,6519	0,9404
1,8278	0,9286
1,8641	0,9268
1,9948	0,8576
--	--
0	1,324
0,4702	1,2372
0,4949	1,2524
0,6827	1,1534
0,9899	1,0152
1,0627	0,979
1,0959	0,9891
1,3653	0,9273
1,4106	0,8552
1,4848	0,8392
1,4949	0,8453
1,5575	0,8978
1,7232	0,9136
1,7575	0,9189
2,0348	0,8552
2,1253	0,8889
2,1917	0,9109

0	1,4155
0,5331	1,273
0,5612	1,2407
0,7741	1,1739
1,0663	1,1525
1,1224	1,0674
1,2049	1,0575
1,2426	1,0176
1,5481	0,983
1,5994	0,9665
1,6836	1,0346
1,695	1,0074
--	--
0	1,4388
0,4987	1,2884
0,525	1,2528
0,7241	1,1764
0,9974	1,1298
1,0499	1,1316
1,1271	1,1082
1,1623	1,0771
1,4482	1,0351
1,5749	0,9504
1,5855	0,9475
1,6519	0,9422
1,8278	1,0199
1,8641	1,0463
1,9948	1,0478
--	--
0	1,4666
0,4702	1,3161
0,4949	1,3002
0,6827	1,2308
0,9404	1,0839
0,9899	1,1424
1,0627	1,026
1,0959	1,0863
1,3653	1,0149
1,4106	0,8935
1,4949	0,8996
1,5575	0,9006
1,7232	0,9638
1,7575	1,0336
1,8807	1,0769
1,9448	1,0912
1,9797	1,1172
2,0348	1,1183
2,048	1,068
2,1253	1,0938
2,1917	1,1281
